modzcta,year_month,RentIndex,y_next,target_month
11374,2023-03,2584.208463891133,2617.73786015872,2023-04
11374,2023-04,2617.73786015872,2619.668365882846,2023-05
11374,2023-05,2619.668365882846,2659.852109138176,2023-06
11374,2023-06,2659.852109138176,2684.0864602349066,2023-07
11374,2023-07,2684.0864602349066,2710.0996706545725,2023-08
11374,2023-08,2710.0996706545725,2738.246949993013,2023-09
11374,2023-09,2738.246949993013,2730.5496714816622,2023-10
11374,2023-10,2730.5496714816622,2750.846605608973,2023-11
11374,2023-11,2750.846605608973,2722.3538523719835,2023-12
11375,2022-01,2264.9894356541645,2280.927808367542,2022-02
11375,2022-02,2280.927808367542,2315.347274116388,2022-03
11375,2022-03,2315.347274116388,2363.018560980446,2022-04
11375,2022-04,2363.018560980446,2397.454822421203,2022-05
11375,2022-05,2397.454822421203,2414.2543567830826,2022-06
11375,2022-06,2414.2543567830826,2442.602639287164,2022-07
11375,2022-07,2442.602639287164,2475.209339488937,2022-08
11375,2022-08,2475.209339488937,2493.9058005320144,2022-09
11375,2022-09,2493.9058005320144,2497.8297764635304,2022-10
11375,2022-10,2497.8297764635304,2490.445551365681,2022-11
11375,2022-11,2490.445551365681,2470.156976137922,2022-12
11375,2022-12,2470.156976137922,2485.6795587245333,2023-01
11375,2023-01,2485.6795587245333,2540.4352832961863,2023-02
11375,2023-02,2540.4352832961863,2550.48072539649,2023-03
11375,2023-03,2550.48072539649,2594.695383433241,2023-04
11375,2023-04,2594.695383433241,2609.298458279237,2023-05
11375,2023-05,2609.298458279237,2690.758010587684,2023-06
11375,2023-06,2690.758010587684,2695.631587048542,2023-07
11375,2023-07,2695.631587048542,2689.915011345107,2023-08
11375,2023-08,2689.915011345107,2688.0207473082805,2023-09
11375,2023-09,2688.0207473082805,2676.612644664861,2023-10
11375,2023-10,2676.612644664861,2688.357110062708,2023-11
11375,2023-11,2688.357110062708,2668.0295356511724,2023-12
11377,2022-01,2175.889871432281,2199.998231392682,2022-02
11377,2022-02,2199.998231392682,2214.871837830466,2022-03
11377,2022-03,2214.871837830466,2153.757418760994,2022-04
11377,2022-04,2153.757418760994,2174.1803357324056,2022-05
11377,2022-05,2174.1803357324056,2182.094866170184,2022-06
11377,2022-06,2182.094866170184,2301.713266613173,2022-07
11377,2022-07,2301.713266613173,2348.838632986861,2022-08
11377,2022-08,2348.838632986861,2407.405484093777,2022-09
11377,2022-09,2407.405484093777,2371.1751045453607,2022-10
11377,2022-10,2371.1751045453607,2386.9698615604657,2022-11
11377,2022-11,2386.9698615604657,2373.594597293535,2022-12
11377,2022-12,2373.594597293535,2373.305505857368,2023-01
11377,2023-01,2373.305505857368,2368.035930740138,2023-02
11377,2023-02,2368.035930740138,2354.9364292699297,2023-03
11377,2023-03,2354.9364292699297,2360.902672141077,2023-04
11377,2023-04,2360.902672141077,2386.339827539774,2023-05
11377,2023-05,2386.339827539774,2441.658850032056,2023-06
11377,2023-06,2441.658850032056,2504.211694535716,2023-07
11377,2023-07,2504.211694535716,2514.604802629505,2023-08
11377,2023-08,2514.604802629505,2536.5737501477315,2023-09
11377,2023-09,2536.5737501477315,2517.312095434155,2023-10
11377,2023-10,2517.312095434155,2529.7555256446435,2023-11
11377,2023-11,2529.7555256446435,2516.8086523415795,2023-12
11378,2022-01,2681.6029222412753,2675.139108881194,2022-02
11378,2022-02,2675.139108881194,2040.020181117192,2022-03
11378,2022-03,2040.020181117192,2089.943068476458,2022-04
11378,2022-04,2089.943068476458,2145.1484016301147,2022-05
11378,2022-05,2145.1484016301147,2188.185155300376,2022-06
11378,2022-06,2188.185155300376,2174.7687935538715,2022-07
